ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <font face=""Cambria Math, serif"">The correct order of increasing acid strength of the compounds:</font></p> <p> <font face=""Cambria Math, serif"">(</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e220410307313807.gif""/> <font face=""Cambria Math, serif"">)</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_992d9c3ada9793ee.gif""/> </p> <p> <font face=""Cambria Math, serif"">(</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f75be7208c5113fd.gif""/> <font face=""Cambria Math, serif"">)</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa938094f1790e04.gif""/> </p> <p> <font face=""Cambria Math, serif"">(</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9fa0f6f5afac7f3.gif""/> <font face=""Cambria Math, serif"">)</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_433ffccbdeb6306f.gif""/> </p> <p> <img align=""bottom"" height=""53"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6b4468baa21b207c.gif"" width=""152""/> </p> <p><font face=""Cambria Math, serif"">is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_335d9cb2caeeb5d3.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3f6d429d4e1f724b.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f5c5a442e395514.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f2ac483cae3d206.gif""/>     ",,,3 ," <p><font face=""Cambria Math, serif"">Presence of electron withdrawing atom (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3b7f7f724a938416.gif""/> <font face=""Cambria Math, serif"">) increases the acidic nature. Presence of electron repelling gp. (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c6ab16d1886ba5d3.gif""/> <font face=""Cambria Math, serif""> decreases the acidic nature. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which is obtained by the oxidation of propionaldehyde?</font></p>",   Acetic acid           ,   Formic acid and acetic acid           ,   Propanoic acid           ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_caf0ed0351febb0e.gif""/> -Propyl alcohol      ",,,3 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e518b2f2375bc76e.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Acetone and acetaldehyde can be identified by treatment with:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_de7852a1f0522020.gif""/>    ",   NaCN   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4f0bc29fafd8f721.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d86c817db7ba2643.gif""/>     ",,,4," <p><font face=""Cambria Math, serif"">All aldehydes give silver mirror with Tollen’s reagent. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The presence of carbon in an organic compound can be shown by </font> ",   Heating with copper which goes black           ,   Burning it to produce green edge flame           ,"   Heating it with copper oxide to convert it into  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9996d0d056a2c839.gif""/>          ",   None of the above      ,,,3 ," <p align=""justify""><font face=""Cambria Math, serif"">Organic compound + </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d162a27c874969d8.gif""/> <font face=""Cambria Math, serif""> will come out if carbon is present. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Choose the incorrect statement</font></p>",   Carboxylic acids have higher boiling points than those of alcohols of similar molecular weight         ,   Carboxylic acids have lower boiling points than those of alcohols of similar molecular weight         ,"   Carboxylic acids  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c81671972fdc9cf.gif""/>  are soluble in water         ",   The melting points of carboxylic acids increase or decrease in an irregular manner    ,,,2 ," <p><font face=""Cambria Math, serif"">As compared to alcohol, the </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f4bd662dd2edd4c.gif""/> <font face=""Cambria Math, serif""> bond in carboxylic acids is more strongly polarised due to the adjacent electron withdrawing carbonyl group. Therefore carboxylic acid from stronger intermolecular H-bonds than alcohols, and the boiling points of carboxylic acids are much higher than those of alcohol of comparable molecular masses</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The increasing order of the rate of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f3387b2da8823700.gif""/> <font face=""Cambria Math, serif""> addition to compounds </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b0968abd6d44003.gif""/> <font face=""Cambria Math, serif""> is</font></p> <li><p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9e368fd1de222c2.gif""/> </p> </li><li><p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/> </p> </li><li><p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f21fb9c4852cb580.gif""/> </p> </li><li><p><font face=""Cambria Math, serif"">PhCOPh</font></p> </li> </td> </tr> <tr> <td width=""4%""><p> <br/> </p> </td> <td width=""2%""><p> <font face=""Cambria, serif"">a)</font></p>",   A &lt; B &lt; C &lt; D   ,   D &lt; B &lt; C &lt; A   ,   D &lt; C &lt; B &lt; A   ,   C &lt; D &lt; B &lt; A    ,,,3 ," <p> <font face=""Cambria Math, serif"">Addition of HCN is nucleophilic addition. Greater the electron deficiency of carbonyl group higher the rate of reaction.</font></p> <p> <font face=""Cambria Math, serif"">Hence,</font></p> <p><img align=""bottom"" height=""42"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cd15a9b20184c98e.gif"" width=""291""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Benzoin is</font></p>",   Compound containing an aldehyde and a ketonic group   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_86b3bf3d192eb545.gif""/> -unsaturated acid         ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> hydroxy aldehyde   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> hydroxy ketone    ",,,4," <p> <font face=""Cambria Math, serif"">Benzaldehyde when heated with ethanolic </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_baee18022f55b294.gif""/> <font face=""Cambria Math, serif"">, it gives </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">hydroxy ketone, benzoin.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c44b3fa9ddbd59.gif""/> </p> <p> <font face=""Cambria Math, serif"">||</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9dfb97357f75e033.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>Benzaldehyde (2 mol)</font></font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c44b3fa9ddbd59.gif""/> </p> <p> <font face=""Cambria Math, serif"">||</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_edb1ebc2f54db255.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>benzoin</font></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Highest pH value among the following is that of:</font></p>",   Gastric juice   ,   Lemon juice   ,   Human blood   ,   Pepsi cola      ,,,3 ," <p><font face=""Cambria Math, serif"">Gastric juice has pH </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9da698152e917f9b.gif""/> <font face=""Cambria Math, serif""> 2.5; lemon juice and pepsi cola have pH </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9da698152e917f9b.gif""/> <font face=""Cambria Math, serif""> 7. Human blood has pH 7.2.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Molecular weight of phorone is equal to</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aa5b40b0e02fc1e8.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_386c9232fb93e7af.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a41706402753aa6b.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a087413e092da6b6.gif""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""96"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6bfd14634a2ff9ea.gif"" width=""201""/> here ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_48eaad2b9ed173e6.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f73ab7b5d921b418.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_dcd0d8687ff79cd7.gif""/>    ",   None of theses    ,,,2 ," <p> <font face=""Cambria Math, serif"">The reagent </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_13734f24b70ffd18.gif""/> <font face=""Cambria Math, serif""> reduces double bond and hydrazine converts </font> <img align=""bottom"" height=""33"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_804338a7d4966a5d.gif"" width=""62""/> <font face=""Cambria Math, serif""> group to </font> <img align=""bottom"" height=""36"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c2865286452e13bd.gif"" width=""49""/> </p> <p><img align=""bottom"" height=""81"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_59d480d6f4e7b13f.gif"" width=""197""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""115"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f521a2ce317559db.gif"" width=""269""/> </p> <p><font face=""Cambria Math, serif"">The reaction is known as</font></p>",   MPV reaction   ,   Oppanauer oxidation         ,   Tischenko reaction   ,   Gattermann Koch reaction    ,,,1," <p> <font face=""Cambria Math, serif"">In Meerwein-Ponndorff-Verley reduction, the carbonyl compound is heated with aluminium </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_90638b9a3f6d9096.gif""/> <font face=""Cambria Math, serif"">-propoxide in </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_90638b9a3f6d9096.gif""/> <font face=""Cambria Math, serif"">-propanol solution, it gets reduced to alcohol. The </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_90638b9a3f6d9096.gif""/> <font face=""Cambria Math, serif"">-propoxide is oxidized to acetone, which is removed from the equilibrium mixture by slow distillation</font></p> <p><img align=""bottom"" height=""125"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3643b538ef67076f.gif"" width=""273""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Raw juice in sugar factories is generally concentrated by:</font></p>",   Vacuum distillation     ,   Steam distillation     ,   Sublimation     ,   Crystallization      ,,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following converts carbonyl compounds into hydrocarbons?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c1a0b7dfe2a1bfe7.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c0ba3bf529ffb38b.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b6e2193916ad5c7a.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1e89b24a29da7c13.gif""/>     ",,,4 ," <p> <img align=""bottom"" height=""69"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c95a3590503a9b07.gif"" width=""269""/> </p> <p><font face=""Cambria Math, serif"">Carbonyl compounds can be converted into hydrocarbons by treating with zinc-amalgam/HCl (Clemmensen’s reduction).</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Two molecules of an aldehyde react with a concentrated solution of caustic soda and produces one molecule of an alcohol and acid each, which one is the aldehyde?</font></p>",   Acetaldehyde     ,   Formaldehyde     ,   Propionaldehyde     ,   Butyraldehyde      ,,,2 ," <p><font face=""Cambria Math, serif"">Cannizzaro’s reaction is shown by aldehydes lacking with α-H-atom. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3cc2ab628a84725b.gif"" width=""105""/> <font face=""Cambria Math, serif"">product is</font></p>","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e0ee69b3015b2880.gif"" width=""105""/>    ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2115bbbe9df39a61.gif"" width=""125""/>    ","   <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_73bfe20f0b08326.gif"" width=""105""/>    ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aa29e820e9b37a1.gif"" width=""134""/>     ",,,3," <p> <font face=""Cambria Math, serif"">In the presence of base, cyclohexanone show aldol condensation</font></p> <p><img align=""bottom"" height=""225"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_804b3c3f196dc835.gif"" width=""265""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Schiff’s reagent is:</font></p>",   Magenta solution decolourised with sulphurous acid           ,   Magenta solution decolourised with chlorine           ,   Ammoniacal cobalt chloride solution           ,   Ammoniacal manganese sulphate solution      ,,,1 ," <p><font face=""Cambria Math, serif"">Magenta is rosaniline hydrochloride which is decolourised by </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bcf4ce860e76556f.gif""/> <font face=""Cambria Math, serif""> to give Schiff’s reagent. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The compound which is not formed during the dry distillation of a mixture of calcium formate and calcium acetate is</font></p>",   Methanal   ,   Propanal   ,   Propanone   ,   Ethanal    ,,,2 ," <p> <font face=""Cambria Math, serif"">Propanal is not formed during the dry distillation of a mixture of calcium formate and calcium acetate.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c1f0b05ebd461d06.gif""/> </p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1f3a96c3f0e7356e.gif""/> </p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c2b185ea53610c6.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The reaction</font></p> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56367a985ff338e4.gif""/> <font face=""Cambria Math, serif"">is called</font></p>",   Lossen reaction   ,   Schmidt reaction   ,   Curtius reaction   ,   Ullmann reaction    ,,,2 ," <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f726d924a032330c.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>hydrazoic acid primary amine</font></font></p> <p><font face=""Cambria Math, serif"">It is Schmidt reaction.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_334d4b41ea37319e.gif""/> ",   6-oxohexanoic acid           ,   Hexan-1-al-6-oic acid           ,   1-aldo-hexanoic acid         ,   6-aldo-hexan-1-oic acid      ,,,4,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The product formed in the reaction</font></p> <p><img align=""bottom"" height=""87"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1bd6816d85b2a3fd.gif"" width=""212""/> ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_898574d2331f769a.gif"" width=""109""/>    ","   <img align=""bottom"" height=""83"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_19bb33cbfaf67fe5.gif"" width=""119""/>    ","   <img align=""bottom"" height=""59"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e894ed3a7c81b29b.gif"" width=""87""/>    ",   None of these    ,,,2 ," <p> <font face=""Cambria Math, serif"">Ketones on reduction with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_259f77071cea9e99.gif""/> <font face=""Cambria Math, serif""> gives secondary alcohol.</font></p> <p><img align=""bottom"" height=""75"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a0fb5c74a27450e2.gif"" width=""267""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Fuels from crude oil are separated from one another by:</font></p>",   Fractional distillation     ,   Crystallization     ,   Steam distillation     ,   Selective adsorption      ,,,1 ," <p><font face=""Cambria Math, serif"">Petrol, kerosene, diesel, etc., have difference in their b. p. of more than 50</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f32c00aa5c694849.gif""/> <font face=""Cambria Math, serif"">.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Propanoic acid on warming with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a0741b36484f6.gif""/> <font face=""Cambria Math, serif""> in presence of red P gives:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_44947b4953475d6d.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bf90dda672f1cdb8.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fed6b5c46f607cfa.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8b60a9ecb9e81dab.gif""/>     ",,,3 ," <p><font face=""Cambria Math, serif"">Halogen attacks α-carbon of carboxylic acid. This is HVZ reaction.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The aldol condensation of acetaldehyde results in the formation of:</font></p>","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6f88402ddae17352.gif"" width=""96""/>          ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7f1a26ed8e46af63.gif"" width=""102""/>          ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_307300ff167cbdf7.gif"" width=""119""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3def5388bcf5a240.gif""/>     ",,,2," <p> <font face=""Cambria Math, serif"">Aldol condensation is shown by the molecules having α-carbon atom</font></p> <p><img align=""bottom"" height=""51"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1533fad384fb10e0.gif"" width=""303""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
